Name,Total Attendances,date
City Hospitals Sunderland NHS Foundation Trust,2389.0,2011-04-10
County Durham And Darlington NHS Foundation Trust,4561.0,2011-04-10
Darlington PCT,0.0,2011-04-10
Gateshead Health NHS Foundation Trust,1251.0,2011-04-10
Gateshead PCT,1041.0,2011-04-10
Newcastle City Centre NHS Walk In Centre,358.0,2011-04-10
North Tees And Hartlepool NHS Foundation Trust,2158.0,2011-04-10
Northumbria Healthcare NHS Foundation Trust,3452.0,2011-04-10
South Tees Hospitals NHS Foundation Trust,3481.0,2011-04-10
South Tyneside NHS Foundation Trust,1302.0,2011-04-10
South Tyneside PCT,0.0,2011-04-10
Sunderland Teaching PCT,1753.0,2011-04-10
The Newcastle Upon Tyne Hospitals NHS Foundation Trust,3245.0,2011-04-10
Aintree University Hospital NHS Foundation Trust,1656.0,2011-04-10
Alder Hey Children's NHS Foundation Trust,1121.0,2011-04-10
Blackpool Teaching Hospitals NHS Foundation Trust,1912.0,2011-04-10
Bolton NHS Foundation Trust,2144.0,2011-04-10
Bolton PCT,847.0,2011-04-10
Bridgewater Community Healthcare NHS Trust,1137.0,2011-04-10
Central And Eastern Cheshire PCT,122.0,2011-04-10
Central Manchester University Hospitals NHS Foundation Trust,4177.0,2011-04-10
Countess Of Chester Hospital NHS Foundation Trust,1251.0,2011-04-10
Cumbria Partnership NHS Foundation Trust,1442.0,2011-04-10
East Cheshire NHS Trust,1102.0,2011-04-10
East Lancashire Hospitals NHS Trust,3877.0,2011-04-10
Halton And St Helens PCT,2042.0,2011-04-10
Knowsley PCT,1332.0,2011-04-10
Lancashire Care NHS Foundation Trust,0.0,2011-04-10
Lancashire Teaching Hospitals NHS Foundation Trust,2496.0,2011-04-10
Liverpool Community Health NHS Trust,2927.0,2011-04-10
Liverpool Heart And Chest NHS Foundation Trust,0.0,2011-04-10
Liverpool Women's NHS Foundation Trust,245.0,2011-04-10
Mid Cheshire Hospitals NHS Foundation Trust,1540.0,2011-04-10
North Cumbria University Hospitals NHS Trust,1526.0,2011-04-10
Oldham PCT,1040.0,2011-04-10
Pennine Acute Hospitals NHS Trust,6697.0,2011-04-10
Pennine Care NHS Foundation Trust,1489.0,2011-04-10
Royal Liverpool And Broadgreen University Hospitals NHS Trust,2119.0,2011-04-10
Salford Royal NHS Foundation Trust,2448.0,2011-04-10
Sefton PCT,0.0,2011-04-10
Southport And Ormskirk Hospital NHS Trust,1971.0,2011-04-10
St Helens And Knowsley Hospitals NHS Trust,2242.0,2011-04-10
Stockport NHS Foundation Trust,1842.0,2011-04-10
Tameside Hospital NHS Foundation Trust,1496.0,2011-04-10
The Christie NHS Foundation Trust,0.0,2011-04-10
The Walton Centre NHS Foundation Trust,0.0,2011-04-10
Trafford Healthcare NHS Trust,1139.0,2011-04-10
University Hospital Of South Manchester NHS Foundation Trust,2095.0,2011-04-10
University Hospitals Of Morecambe Bay NHS Foundation Trust,1721.0,2011-04-10
Warrington And Halton Hospitals NHS Foundation Trust,1903.0,2011-04-10
West Lancashire Healthcare Partnership Community Cic (Sdgh),327.0,2011-04-10
Western Cheshire PCT,253.0,2011-04-10
Wirral Community NHS Trust,1680.0,2011-04-10
Wirral PCT,0.0,2011-04-10
Wirral University Teaching Hospital NHS Foundation Trust,1798.0,2011-04-10
"Wrightington, Wigan And Leigh NHS Foundation Trust",1812.0,2011-04-10
Airedale NHS Foundation Trust,1109.0,2011-04-10
Barnsley Hospital NHS Foundation Trust,1607.0,2011-04-10
Bradford Teaching Hospitals NHS Foundation Trust,2903.0,2011-04-10
Calderdale And Huddersfield NHS Foundation Trust,2882.0,2011-04-10
City Health Care Partnership Cic,334.0,2011-04-10
Doncaster And Bassetlaw Hospitals NHS Foundation Trust,3579.0,2011-04-10
East Riding Of Yorkshire PCT,317.0,2011-04-10
Harrogate And District NHS Foundation Trust,1764.0,2011-04-10
Hull And East Yorkshire Hospitals NHS Trust,2581.0,2011-04-10
Hull Teaching PCT,0.0,2011-04-10
Kirklees PCT,315.0,2011-04-10
